open_time,open,high,low,close,volume
1756569600000,108809.80,108851.00,108562.00,108769.40,5467.675
1756584000000,108769.50,108776.10,108412.20,108757.90,4768.913
1756598400000,108758.00,109439.90,108750.00,109175.40,13765.096
1756612800000,109175.50,109190.40,108455.00,108656.90,9506.115
1756627200000,108656.90,109067.20,108251.30,108350.00,12792.960
1756641600000,108350.00,108808.50,108153.80,108758.20,10880.915
1756656000000,108758.20,109196.50,108504.70,108877.20,10481.101
1756670400000,108877.30,109192.30,108021.00,108208.40,12723.359
1756684800000,108208.40,108447.60,107355.00,107619.10,25068.790
1756699200000,107619.10,109390.30,107211.50,109390.30,26104.798
1756713600000,109390.20,109874.80,108131.60,108721.90,33039.009
1756728000000,108721.80,109479.20,108515.80,108738.00,21788.115
1756742400000,108737.90,109298.60,108350.00,109178.70,12872.734
1756756800000,109178.70,109410.50,107400.00,109187.90,31407.180
1756771200000,109187.90,110597.90,108834.90,110286.00,28302.513
1756785600000,110286.00,110571.90,109932.40,110190.10,13927.360
1756800000000,110190.10,110700.00,109501.70,109698.60,18830.291
1756814400000,109698.60,111742.10,108333.00,110789.90,79576.083
1756828800000,110789.90,111076.80,110118.50,110742.90,20760.952
1756843200000,110742.90,111487.90,110650.80,111188.00,14564.157
1756857600000,111187.90,111732.90,110842.70,110991.70,14679.713
1756872000000,110991.80,111117.50,110486.90,111041.50,11117.044
1756886400000,111041.40,111670.00,110843.00,111391.60,11890.428
1756900800000,111391.60,112470.50,110966.80,112168.60,42967.906
1756915200000,112168.50,112541.20,111626.00,112139.90,17438.926
1756929600000,112140.00,112207.10,111550.90,111659.80,7410.404
1756944000000,111659.70,112136.80,111081.10,111107.10,14897.088
1756958400000,111107.10,111283.70,110237.20,110417.30,20718.869
1756972800000,110417.30,111111.00,110366.00,110763.90,14846.823
1756987200000,110763.80,111081.60,109269.10,109448.00,33312.199
1757001600000,109448.00,110150.00,109315.00,109753.90,17804.968
1757016000000,109753.90,111743.80,109702.80,110679.40,20720.422
1757030400000,110679.50,111444.10,110394.20,111266.90,14819.651
1757044800000,111267.00,112949.00,111086.20,112900.10,28206.507
1757059200000,112900.00,112947.60,112080.00,112299.60,22210.272
1757073600000,112299.60,113344.30,110240.00,110674.10,88696.603
1757088000000,110674.10,111598.20,110153.30,111550.10,19053.407
1757102400000,111550.00,111655.50,110307.60,110614.90,20388.964
1757116800000,110614.80,111256.20,110504.90,111034.00,7401.220
1757131200000,111034.00,111034.00,110653.10,110779.90,5151.787
1757145600000,110779.90,110928.50,110621.00,110732.90,5048.529
1757160000000,110732.80,110956.50,110285.20,110324.10,9309.436
1757174400000,110324.20,110359.10,109850.00,109986.70,14613.108
1757188800000,109986.80,110225.90,109981.20,110135.30,4758.436
1757203200000,110135.20,110700.00,110120.50,110579.80,8486.949
1757217600000,110579.80,110880.80,110414.40,110710.80,7174.867
1757232000000,110710.80,111348.00,110666.40,111249.50,14763.410
1757246400000,111249.50,111371.40,110998.80,111276.20,7509.152
1757260800000,111276.20,111327.20,110817.50,111217.00,7640.787
1757275200000,111216.90,111559.50,110947.60,111076.00,8265.419
1757289600000,111075.50,111345.00,110566.50,111004.90,14141.826
1757304000000,111004.80,111580.70,110852.10,111236.40,9409.023
1757318400000,111236.50,112144.00,111201.00,112022.00,24016.679
1757332800000,112022.00,112867.60,111800.00,112573.60,28275.809
1757347200000,112573.60,112635.00,111927.00,112051.00,14865.987
1757361600000,112050.00,112460.40,111847.00,112012.60,8408.535
1757376000000,112012.70,112055.70,111050.00,111657.60,19290.250
1757390400000,111657.70,113238.00,111576.70,112950.10,31921.636
1757404800000,112950.20,113134.30,112350.00,112397.40,12841.685
1757419200000,112397.50,112900.00,110714.90,110830.10,49386.303
1757433600000,110830.10,111342.00,110738.60,111242.30,14928.609
1757448000000,111242.40,111692.30,111041.10,111499.90,8906.650
1757462400000,111499.90,111545.00,110855.80,111498.90,17185.891
1757476800000,111498.90,112555.00,111316.80,112500.10,16775.302
1757491200000,112500.00,112832.00,112060.00,112266.40,19366.674
1757505600000,112266.50,114287.90,112266.40,113801.30,64026.700
1757520000000,113801.30,114046.80,113111.00,113525.20,21631.484
1757534400000,113525.30,114005.00,113468.40,113896.80,12915.488
1757548800000,113896.80,114433.20,113614.50,114354.40,11183.876
1757563200000,114354.40,114419.90,113900.00,114040.00,11621.630
1757577600000,114040.10,114161.00,113722.20,113960.90,11061.871
1757592000000,113961.00,114691.70,113340.70,114122.30,50084.085
1757606400000,114122.40,114564.00,114008.50,114370.50,11930.936
1757620800000,114370.40,115439.00,114195.00,115427.00,17183.680
1757635200000,115427.00,116280.00,114993.00,115138.30,31719.513
1757649600000,115138.30,115613.00,115024.30,115049.00,12398.784
1757664000000,115048.90,115243.50,114833.80,114863.00,13385.479
1757678400000,114863.00,115445.90,114681.50,115064.90,18827.404
